BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	treatment	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	source_name	strain	tissue
SAMN14136503	fastq sra	gs s3	gs.US s3.us-east-1	SRX7750215	7302	2899	SRR11113196	SRS6169505	GSM4321076	R837 stimulated	RNA-Seq	300	PRJNA607531	GEO	public	0	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	2020-02-19	Mus musculus	ILLUMINA	2020-02-20	SRP250015	plasmacytoid dendritic cell	C57BL/6	spleen
SAMN14136502	fastq sra	gs s3	gs.US s3.us-east-1	SRX7750216	6748	2665	SRR11113197	SRS6169506	GSM4321077	R837 stimulated	RNA-Seq	300	PRJNA607531	GEO	public	0	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	2020-02-19	Mus musculus	ILLUMINA	2020-02-20	SRP250015	plasmacytoid dendritic cell	C57BL/6	spleen
SAMN14136501	fastq sra	gs s3	gs.US s3.us-east-1	SRX7750217	7106	2834	SRR11113198	SRS6169507	GSM4321078	R837+Taurine stimulated	RNA-Seq	300	PRJNA607531	GEO	public	0	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	2020-02-19	Mus musculus	ILLUMINA	2020-02-20	SRP250015	plasmacytoid dendritic cell	C57BL/6	spleen
SAMN14136504	fastq sra	gs s3	gs.US s3.us-east-1	SRX7750214	7468	2969	SRR11113195	SRS6169504	GSM4321075	R837 stimulated	RNA-Seq	300	PRJNA607531	GEO	public	0	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	2020-02-19	Mus musculus	ILLUMINA	2020-02-20	SRP250015	plasmacytoid dendritic cell	C57BL/6	spleen
SAMN14136500	fastq sra	gs s3	gs.US s3.us-east-1	SRX7750218	7575	3011	SRR11113199	SRS6169508	GSM4321079	R837+Taurine stimulated	RNA-Seq	300	PRJNA607531	GEO	public	0	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	2020-02-19	Mus musculus	ILLUMINA	2020-02-20	SRP250015	plasmacytoid dendritic cell	C57BL/6	spleen
SAMN14136499	fastq sra	gs s3	gs.US s3.us-east-1	SRX7750219	6684	2700	SRR11113200	SRS6169509	GSM4321080	R837+Taurine stimulated	RNA-Seq	300	PRJNA607531	GEO	public	0	HiSeq X Ten	PAIRED	cDNA	TRANSCRIPTOMIC	2020-02-19	Mus musculus	ILLUMINA	2020-02-20	SRP250015	plasmacytoid dendritic cell	C57BL/6	spleen
